20141001,42301,18,12,326,625,66,36,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0
20141002,42301,18,12,326,625,95,51,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
20141003,42301,18,12,326,625,75,47,3,2,3,0,963,0,0,288,0,0,0,0,0,7,0,0,0,6,0,0,288,0,0
20141004,42301,18,12,326,625,43,30,5,3,0,2,2968,2,2,573,1,1,1,0,0,1,0,0,0,0,0,1,573,1,1
20141005,42301,18,12,326,625,103,43,1,1,0,2,2971,2,2,578,1,1,1,0,0,12,0,0,0,8,0,1,578,1,1
20141006,42301,18,12,326,625,78,47,4,0,0,0,965,0,0,289,0,0,0,0,0,12,0,0,0,9,0,0,289,0,0
20141007,42301,18,12,326,625,80,46,2,1,1,0,1928,0,0,284,0,0,0,0,0,8,0,0,0,8,0,0,284,0,0
20141008,42301,18,12,326,625,67,46,1,1,0,1,3954,1,1,1179,1,1,1,0,0,13,0,0,0,11,0,1,1179,1,1
20141009,42301,18,12,326,625,69,31,4,2,1,0,965,0,0,285,0,0,0,0,0,2,0,0,0,2,0,0,285,0,0
20141010,42301,18,12,326,625,68,41,5,2,1,0,965,0,0,0,0,0,0,0,0,11,0,0,0,8,0,0,0,0,0
20141011,42301,18,12,326,625,52,31,1,1,0,1,1041,1,1,307,1,1,1,0,0,2,0,0,0,2,0,1,307,1,1
20141012,42301,18,12,326,625,98,59,4,3,0,1,2037,1,1,298,0,0,0,0,0,9,0,0,0,9,0,0,298,0,0
20141013,42301,18,12,326,625,123,68,3,2,5,1,3954,1,1,894,1,1,1,0,0,13,0,0,0,9,0,1,894,1,1
20141014,42301,18,12,326,625,54,37,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,6,0,0,0,0,0
20141015,42301,18,12,326,625,68,47,3,3,0,2,2896,2,2,578,1,1,1,0,0,7,0,0,0,7,0,1,578,1,1
20141016,42301,18,12,326,625,82,59,4,4,2,1,1041,1,1,311,1,1,1,0,0,8,0,0,0,8,0,1,311,1,1
20141017,42301,18,12,326,625,66,36,3,2,1,1,1041,1,1,307,1,1,1,0,0,7,0,0,0,7,0,1,307,1,1
20141018,42301,18,12,326,625,105,57,4,3,1,0,1981,0,0,589,0,0,0,0,1,9,0,0,0,8,0,0,589,0,0
20141019,42301,18,12,326,625,55,40,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0
20141020,42301,18,12,326,625,70,42,0,0,1,0,1961,0,0,583,0,0,0,0,0,17,0,0,0,12,0,0,583,0,0
20141021,42301,18,12,326,625,71,36,2,2,1,0,1950,0,0,584,0,0,0,0,0,4,0,0,0,3,0,0,584,0,0
20141022,42301,18,12,326,625,68,36,1,1,1,1,1041,1,1,311,1,1,1,0,0,7,0,0,0,6,0,1,311,1,1
20141023,42301,18,12,326,625,32,26,1,0,0,1,1930,1,1,578,1,1,1,0,0,3,0,0,0,2,0,1,578,1,1
20141024,42301,18,12,326,625,113,35,1,1,2,2,2971,2,2,600,1,1,1,0,0,0,0,0,0,0,0,1,600,1,1
20141025,42301,18,12,326,625,62,31,5,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0
