100015,all,0
100060,all,1
100126,all,10
100267,all,8
100840,all,0
101615,all,155
101896,all,1
102094,all,7
102362,all,70
102476,all,88
102478,all,16
102811,all,3
102955,all,0
103184,all,27
103198,all,0
10325,all,24
103261,all,13
103267,all,297
103330,all,202
103390,all,40
103580,all,355
103675,all,0
103855,all,14
104536,all,3
104764,all,10
104776,all,3
104800,all,36
104848,all,11
104890,all,1
105301,all,122
105436,all,0
105562,all,1
105613,all,0
105784,all,18
105802,all,2
105865,all,0
105932,all,44
106057,all,3
106249,all,4
106363,all,175
106634,all,65
106702,all,14
106714,all,42
107245,all,22
107446,all,0
107567,all,204
107578,all,72
107596,all,3
108124,all,0
108265,all,8
108475,all,4
108874,all,8
108958,all,27
109129,all,0
109213,all,7
10931,all,293
109336,all,0
109387,all,1
109390,all,2
10943,all,20
10949,all,0
109532,all,305
109771,all,15
10991,all,1
109945,all,16
110617,all,1
11068,all,212
110680,all,1
110906,all,109
111017,all,35
11108,all,1167
111401,all,153
111406,all,17
111931,all,2
111949,all,4
111964,all,25
112381,all,4
112540,all,9
11255,all,107
112600,all,2
112729,all,3
113035,all,0
113161,all,0
113209,all,1
113242,all,12
113275,all,10
113293,all,0
113308,all,0
113389,all,40
113404,all,1
113465,all,427
113881,all,1
113929,all,0
114172,all,6
114176,all,54
11447,all,6
114472,all,1
114538,all,3
114811,all,23
115207,all,60
11534,all,0
115453,all,13
116248,all,2
116314,all,8
116389,all,0
116749,all,23
116764,all,0
116809,all,6
116878,all,4
117691,all,0
117850,all,2
118234,all,6
118249,all,5
118750,all,17
118792,all,1
119041,all,310
119098,all,0
11921,all,38
119563,all,5
119596,all,1
11987,all,0
120088,all,15
120238,all,12
120271,all,1
120286,all,49
120307,all,318
120347,all,245
120397,all,0
120586,all,0
120607,all,0
120685,all,0
120697,all,1
121016,all,2189
121033,all,43
12104,all,0
121081,all,16
121195,all,0
121232,all,304
121417,all,9
121450,all,666
121597,all,4
121630,all,15
122044,all,23
122173,all,9
12223,all,0
122476,all,2
122488,all,0
122509,all,8
123017,all,121
123166,all,0
123499,all,8
123571,all,0
123628,all,37
123871,all,13
123928,all,4
124111,all,28
124666,all,18
124837,all,71
12485,all,11
124906,all,8
125563,all,0
125581,all,8
125899,all,1
125935,all,8
126046,all,17
126058,all,4
126061,all,2
126175,all,3
12659,all,40
127018,all,42
127081,all,0
127162,all,1
127534,all,3
127693,all,0
127807,all,0
